sentence_a,sentence_b,label
芯漾面膜怎么样？好做么？,搜狗问问好还是百度知道好呢,0
石家庄晚上哪里最好玩？,石家庄晚上哪里好玩,0
俄罗斯的首都在哪里？,俄罗斯的首都是那里,1
乌龟喜欢吃什么啊？,乌龟喜欢吃什么,1
企鹅是什么意思？,求企鹅是什么意思,1
为什么这配置玩逆战还是卡？,这配置为什么玩逆战很卡,1
披风热血江湖,热血江湖披风,1
吉林大学珠海学院怎么样?,吉林大学珠海学院怎样？,1
一个北斗七星和一条蛇是什么成语,北斗七星和一条蛇是什么成语,1
梦幻西游魔王起什么名字,梦幻西游好听的名字有哪些？,0
我是什么脸型适合空气刘海吗？,长脸型适合空气刘海吗？,1
这只鸟叫什么名字?,这只鸟叫什么名字？,1
为什么好多小说百度文库没有,为什么百度文库中好多小说没有,1
电子烟对人有害吗,抽电子烟有害吗？,1
人体骨骼图,绘画人体骨骼肌肉结构图,0
什么面膜好用？,什么面膜好用。？,1
是否是话费充值的呢,您的是充值话费是吗,1
怎么解三元一次方程,怎样解三元一次方程?,1
请问这是什么瓜(果),请问这个是什么字体？(英文),0
求一些像使命召唤4之类的单机游戏,安装完使命召唤2玩不了单机游戏,0
人与畜生的区别是什么,人与畜生的区别是什么！,1
月光族是什么意思？,月光族什么意思,1
人们比喻环卫工人什么,环卫工人比喻什么,1
化学蓝矾实验报告怎么写,生物化学怎么写设计性实验报告,0
用他人驾驶证扣分需要本人去吗？,驾驶证给别人扣分要本人去吗,1
我闺蜜，好看不。？,自己剪头发帘曾么见会好看,0
为什么附近的人搜索不到我微信,为什么微信上附近的人怎么搜不到我的位置,1
很抱歉亲，银行卡并没有扣款哦,很抱歉，辛苦您持银行卡到银行核实一下您的银行卡状态是否正常的。,0
现在什么手机铃声最好听,现在用什么手机铃声最好听,1
怎么自选车牌号,怎样自选车牌号,1
广告是怎么赚钱的？,怎样刷广告赚钱,0
手机听歌用什么软件好？,手机听歌用什么软件,1
空调什么牌子比较好？,空调什么牌子的比较好用？,1
请问您这里是什么学校的？,请问您的学校是国内公办的大学吗？,0
长庆油田好不,长庆油田贴吧,0
本末末本什么成语,本末末本是什么成语,1
为什么移动硬盘不显示,为什么我的移动硬盘不显示了,1
在赶集网上找工作可靠吗？。,赶集网上找工作可靠吗,1
求一个哔哩哔哩弹幕网邀请码！谢谢！,求哔哩哔哩弹幕网的邀请码！很急！,1
应允别人的话叫(),应允别人的话叫()言,1
女人吃了精子有什么好处?,女人吃精子有什么好处？,1
电子烟对人有害吗,电子烟有害吗,1
求国务卿夫人第四集,求国务卿夫人第四集！,1
赛尔号布莱克的英文名是什么,赛尔号布莱克的性格像是什么星座？,0
怎么和女生搭讪,怎么向女生搭讪,1
给姓王的男朋友起外号,我想给女儿起名字，本人姓高,0
QQ空间说说，怎么打空格。,QQ空间空格怎么打。,1
怎样去遗传雀斑,怎样去遗传雀斑n,1
银行理财产品和余额宝哪个收益高,银行理财产品和余额宝哪个更安全,0
红色高腰外套怎么搭配,皮甲外套红色怎么搭配,0
这是什么手链的材质是什么？有图,这是什么材质手链,1
这是什么茶花品种,这是茶花的哪个品种？,1
《工程造价基础知识》电子版,电子版《工程造价基础知识》,1
现在有什么3D效果好的单机游戏？,现在什么单机游戏比较好玩？,0
微信公众平台怎么加人?,在QQ里怎样操作才能添加好友,0
奇迹面膜怎么辨真假？,奇迹面膜怎么看真假,1
双子座和天蝎座谁厉害,双子座和天蝎座在一起谁是攻,0
豌豆怎么做才好吃,豌豆芽怎么做好吃？,0
别人说你是刺猬是什么意思,刺猬什么意思,0
田亮是哪里人？,怎样看足球赔率的是多少？,0
有什么好看的小说虐心的那种,有什么好看的虐心小说,1
杭州市民中心可以办理市民卡吗？,杭州市民卡可以同时借两辆车吗,0
万能钥匙怎么破解密码,怎么查看万能钥匙破解的密码,1
谁知道这么表情的名字,谁知道这表情动画的名字,1
《满秋》小梅扮演者是谁,浣碧的扮演者是谁,0
百度网盘的问题,百度网盘问题,1
办公室玩的网页游戏，或者是聊天软件什么的,有什么适合办公室玩玩的手机游戏么,0
请翻译成中文，谢谢了！,请翻译成韩中文，谢谢,0
时空猎人忘记哪个区了，怎么查？,时空猎人我忘记在哪个区了怎么办,1
踏步机什么牌子好？,什么牌子的踏步机好？,1
李医生怎么样？,李医生去痘怎么样,0
癌症传染吗,鸡眼传染吗,0
这个人物是那个动画片的？,这个是什么动画片里的人物？,1
猪骨头汤怎么熬最好喝,怎样熬骨头汤才好喝？我很想做,1
奇葩，是什么意思？,奇葩、是什么意思？,1
完美的玛丽艳怎么样？,完美的玛丽艳怎么样,1
柏组词，帮帮忙,有很组词！帮帮忙了！,0
铜与什么反应生成硫酸铜,氢氧化钠和硫酸铜反应生成什么,0
共识是什么意思,交叠共识是什么意思,0
iphone手机屏幕显示发黄是什么原因,红米手机屏幕上下发黄是什么原因,0
春晚有什么好看的小品什么的？,2015年春晚的小品都叫什么名,0
做个好学生有点累,怎样做个好学生？,0
